Count,Feeder,PoleId,Permanent Pole ID,Primary,Neutral,Secondary,Construction Primary,Type,Ht,X,Y,Lat,Lon,Location,Phasing,"Length, Primary",Old Id,Remarks
1,4,ALA0001,ALA0001,,,,C4,W,45,43661369.4,5954919.928,16.14596006,119.9805509,Palamis,BAC,17.1,ALA0001,
2,4,ALA0002,ALA0002,,,,DC-C1,W,35,43661158.04,5954932.404,16.14599299,119.9799701,Palamis,ABC,64.8,ALA0002,
3,4,ALA0003,ALA0003,,,,DC-C1,W,35,43660962.88,5954954.002,16.14605,119.9794338,Palamis,ABC,6,ALA0003,
4,4,ALA0004,ALA0004,,,,DC-C1,W,35,43660758.77,5954979.411,16.14611707,119.9788729,Palamis,ABC,62.9,ALA0004,
5,4,ALA0005,ALA0005,,,,DC-C1,W,35,43660553.16,5955003.668,16.1461811,119.9783079,Palamis,ABC,63.3,ALA0005,
6,4,ALA0006,ALA0006,,,,DC-C1,W,35,43660349.48,5955031.271,16.14625396,119.9777482,Palamis,ABC,62.8,ALA0006,
7,4,ALA0007,ALA0007,,,,DC-C1,W,35,43660148.54,5955057.378,16.14632287,119.977196,Palamis,ABC,61.9,ALA0007,
8,4,ALA0008,ALA0008,,,,DC-C1,W,35,43659966.59,5955080.593,16.14638415,119.976696,Palamis,ABC,56.1,ALA0008,
9,4,ALA0009,ALA0009,,,,C4,W,45,43659837,5955122.172,16.1464939,119.9763399,Palamis,BAC,41.5,ALA0009,
10,4,ALA0010,ALA0010,,,,C1X,C,35,43659949.52,5955373.39,16.14715701,119.9766491,Palamis,ABC,81.4,ALA0010,
11,4,ALA0011,ALA0011,,,,C1X,C,35,43660006.98,5955503.332,16.1475,119.976807,Palamis,ABC,42,ALA0011,
12,4,ALA0011-1,ALA0011A,,,,C1X,,35,43660035.4,5955579.909,16.14770213,119.9768851,Palamis,ABC,24.1,ALA0011-1,
13,4,ALA0012,ALA0012,,,,C1X,W,35,43660112.84,5955745.773,16.14813994,119.9770979,Palamis,ABC,54.2,ALA0012,
14,4,ALA0012-1,ALA0012A,,,,C1,S,35,43660155.09,5955848.802,16.14841189,119.977214,Palamis,ABC,32.9,ALA0012-1,
18,4,ALA0013,ALA0013,,,,C1X,W,35,43660172.85,5955892.809,16.14852805,119.9772628,Palamis,ABC,54,ALA0013,
19,4,ALA0013-1,ALA0013A,,,,J5/J15,S,25,43660194.39,5955946.208,16.148669,119.977322,Palamis,B,18.1,ALA0013-1,
27,4,ALA0014,ALA0014,,,,C8,W,35,43660231.11,5956030.719,16.14889207,119.9774229,Palamis,ABC,27.7,ALA0014,
28,4,ALA0015,ALA0015,,,,C1-A5-1,C,35,43660292.35,5956175.448,16.14927409,119.9775912,Palamis,ABC,46.5,ALA0015,
34,4,ALA0016,ALA0016,,,,C1,W,35,43660339.26,5956275.818,16.14953902,119.9777201,Palamis,ABC,32.8,ALA0016,
35,4,ALA0017,ALA0017,,,,C1,S,35,43660402.51,5956436.831,16.14996402,119.9778939,Palamis,ABC,51.1,ALA0017,
36,4,ALA0018,ALA0018,,,,C1-A5-1,W,35,43660471.61,5956577.401,16.15033506,119.9780838,Palamis,ABC,46.4,ALA0018,
53,4,ALA0019,ALA0019,,,,C1,W,35,43660532.86,5956708.845,16.15068201,119.9782521,Palamis,ABC,42.9,ALA0019,
54,4,ALA0019-1,ALA0019A,,,,C1,C,35,43660540.1,5956720.972,16.15071402,119.978272,Palamis,ABC,4.2,ALA0019-1,
55,4,ALA0020,ALA0020,,,,C1-X,C,35,43660580.13,5956814.535,16.15096098,119.978382,Palamis,ABC,3.1,ALA0020,
56,4,ALA0021,ALA0021,,,,C1,W,35,43660645.59,5956983.865,16.15140793,119.9785619,Palamis,ABC,53.6,ALA0021,
57,4,ALA0021-1,ALA0021A,,,,C1-C7,C,35,43660686.75,5957089.971,16.151688,119.978675,Palamis,ABC,33.5,ALA0021-1,
58,4,ALA0022,ALA0022,,,,C15,W,35,43660737.33,5957236.245,16.15207409,119.978814,Palamis,ABC,46.7,ALA0022,
59,4,ALA0022-1,ALA0022A,,,,C14X,S,35,43660786.72,5957348.826,16.15237125,119.9789497,Palamis,ABC,6,ALA0022-1,
62,4,ALA0023,ALA0023,,,,C14X,S,35,43660796.76,5957367.981,16.15242181,119.9789773,Palamis,ABC,34.2,ALA0023,
63,4,ALA0024,ALA0024,,,,C1,W,35,43660808.33,5957393.445,16.15248902,119.9790091,Palamis,ABC,17.4,ALA0024,
64,4,ALA0025,ALA0025,,,,C1,W,35,43660865.39,5957547.648,16.15289604,119.9791659,Palamis,ABC,48.6,ALA0025,
65,4,ALA0026,ALA0026,,,,C1,W,35,43660897.78,5957642.363,16.15314604,119.9792549,Palamis,ABC,29.5,ALA0026,
