COUNT,Temporary PoleId,Permanent,X,Y,Primary,Neutral,Secondary,Construction Primary,Type,Ht,Location,Phasing,Lat,Lon,Feeder,Remarks
1,ALA2874,ALA2874,43661434.97,5954921.084,3/0b,2b,,C4,C,35,Bypass Road Alaminos City,ABC,16.14596311,119.9807311,6,
2,ALA2875,ALA2875,43661605.61,5954891.515,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14588506,119.9812,6,
3,ALA2876,ALA2876,43661821.4,5954849.012,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14577287,119.981793,6,
4,ALA2877,ALA2877,43662015.33,5954830.876,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.145725,119.9823259,6,
5,ALA2878,ALA2878,43662185.31,5954816.439,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14568689,119.982793,6,
6,ALA2879,ALA2879,43662392.77,5954786.176,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14560701,119.9833631,6,
7,ALA2880,ALA2880,43662595.03,5954754.3,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14552287,119.9839189,6,
8,ALA2881,ALA2881,43662803.62,5954721.034,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14543506,119.9844921,6,
9,ALA2882,ALA2882,43663013.19,5954694.469,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14536494,119.985068,6,
10,ALA2883,ALA2883,43663214.43,5954675.178,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14531402,119.985621,6,
11,ALA2884,ALA2884,43663428,5954644.803,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14523384,119.9862079,6,
12,ALA2885,ALA2885,43663649.69,5954619.507,3/0b,2b,,C1,W,35,Bypass Road Alaminos City,ABC,16.14516707,119.9868171,6,
13,ALA2886,ALA2886,43663731.13,5954611.885,3/0b,2b,,C8,W,35,Bypass Road Alaminos City,ABC,16.14514695,119.9870409,6,
14,ALA2887,ALA2887,43663832.73,5954603.224,3/0b,2b,,C8,W,35,Bypass Road Alaminos City,ABC,16.14512409,119.9873201,6,
