Feeder,DL Code,Temporary PoleId,Permanent Pole ID,Remarks,Construction Primary,Type,Ht,Location,Lat,Lon
7,,F70001,ALA4201,INSTALLED,DOUBLE CKT,C,25,SS Palamis,16.146065,119.980558
7,C,CSI/NEPO01,ALA4202,INSTALLED,DOUBLE CKT,S,45,Palamis,16.14623903,119.980631
7,C,CSI/NEPO02,ALA4203,INSTALLED,C2-1,S,45,Palamis,16.14671898,119.980081
,,,ALA4204,INSTALLED,C2-1,C,30,Palamis,16.14678692,119.9801164
7,C,CSI/NEPO03,ALA4205,INSTALLED,C7/C7,S,45,Palamis,16.14684102,119.979496
,,,ALA4206,INSTALLED,C7/C7,C,30,Palamis,16.14689719,119.9795761
7,C,CSI/NEPO04,ALA4207,INSTALLED,DOUBLE CKT,c,45,Palamis,16.14740797,119.979648
7,C,CSI/NEPO05,ALA4208,INSTALLED,DOUBLE CKT,c,45,Palamis,16.14780603,119.97984
7,,CSI/NEPO06,ALA4209,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.14836502,119.980124
7,,CSI/NEPO07,ALA4210,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.14871698,119.980295
7,A,CSI/NEPO08,ALA4211,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.14917496,119.980502
7,A,CSI/NEPO09,ALA4212,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.14960697,119.980686
7,A,CSI/NEPO10,ALA4213,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.14967402,119.980227
7,A,CSI/NEPO11,ALA4214,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.14975901,119.97978
7,A,CSI/NEPO12,ALA4215,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.149871,119.979348
7,C,CSI/NEPO13,ALA4216,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.15026,119.979374
7,C,ALA0378,ALA4217,INSTALLED,DOUBLE CKT,S,35,Asisten St.,16.15063501,119.979529
7,C,CSI/NEPO15,ALA4218,INSTALLED,DOUBLE CKT,S,50,"MONTEMAYOR ST., ALAMINOS",16.151044,119.979573
7,C,CSI/NEPO16,ALA4219,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.151386,119.979672
7,C,CSI/NEPO17,ALA4220,INSTALLED,DOUBLE CKT,C,50,"MONTEMAYOR ST., ALAMINOS",16.151825,119.979785
7,C,CSI/NEPO18,ALA4221,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.152263,119.97989
7,C,CSI/NEPO19,ALA4222,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.152658,119.979992
7,C,CSI/NEPO20,ALA4223,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.153101,119.980127
7,C,CSI/NEPO21,ALA4224,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.153492,119.980248
7,C,CSI/NEPO22,ALA4225,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.15393597,119.980386
7,C,CSI/NEPO23,ALA4226,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.15431097,119.980549
7,C,CSI/NEPO24,ALA4227,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.15445204,119.980622
7,C,CSI/NEPO25,ALA4228,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.15477399,119.980728
7,C,CSI/NEPO26,ALA4229,INSTALLED,DOUBLE CKT,c,45,"Montemayor St., Alaminos City",16.15493501,119.980819
7,C,CSI/NEPO22-1,ALA4230,INSTALLED,DOUBLE CKT,c,45,V. Montemayor St.,16.154148,119.980066
7,C,ALA0031,ALA0031,INSTALLED,C1X,C,35,Palamis,16.154339,119.979763
7,C,CSI/NEPO22-3,ALA4231,INSTALLED,c14,c,45,V. Montemayor St.,16.154499,119.979527
7,C,CSI/NEPO22-5,ALA4232,INSTALLED,C14,c,45,V. Montemayor St.,16.154802,119.979041
7,A,ALA0041-L2,ALA3071,INSTALLED,A1X,C,30,C.P. Garcia St.,16.154998,119.978737
7,A,ALA0041-L1,ALA3070,INSTALLED,A1X,C,30,C.P. Garcia St.,16.155323,119.978966
7,C,ALA0041,ALA0041,INSTALLED,C1-C7,C,35,Quezon Blvd,16.15566,119.979205
7,C,ALA0042,ALA0042,INSTALLED,C8-C2-C7,C,35,Quezon Blvd,16.15587317,119.9789299
7,C,ALA0043,ALA0043,INSTALLED,C2-C2-C7,C,35,Quezon Blvd,16.15621006,119.9784351
7,C,ALA0043-1,ALA0043A,INSTALLED,C7/C7,C,35,Quezon Ave.,16.15609,119.9784617
7,C,ALA0406,ALA0406,INSTALLED,C14X,C,35,G. Montemayor St. Pob. Alaminos,16.15556167,119.9781467
7,C,ALA0406-1,ALA0406A,INSTALLED,C7,C,35,G. Montemayor St. Pob. Alaminos,16.15548167,119.9780533
7,B,ALA0407,ALA0407,INSTALLED,B7,W,30,G. Montemayor St. Pob. Alaminos,16.15506333,119.97784
7,A,ALA0408,ALA0408,INSTALLED,A5,C,30,G. Montemayor St. Pob. Alaminos,16.15496833,119.97776
7,S,ALA0408-1,ALA0408A,INSTALLED,J5/J15,S,25,G. Montemayor St. Pob. Alaminos,16.15470333,119.9775817
7,S,ALA0408-1-1,ALA3084,INSTALLED,J5,S,25,G. Montemayor St. Pob. Alaminos,16.15489333,119.9770667
7,S,ALA0408-1-2,ALA3085,INSTALLED,J5,S,25,G. Montemayor St. Pob. Alaminos,16.1551,119.9766483
7,S,ALA0408-1-3,ALA3086,INSTALLED,J6,S,25,G. Montemayor St. Pob. Alaminos,16.15532,119.9761733
7,S,ALA0409,ALA0409,INSTALLED,J5/J15,W,25,G. Montemayor St. Pob. Alaminos,16.15456833,119.97746
7,S,ALA0410,ALA0410,INSTALLED,J5,C,25,G. Montemayor St. Pob. Alaminos,16.15421667,119.97733
7,S,ALA0411,ALA0411,INSTALLED,J5,C,25,G. Montemayor St. Pob. Alaminos,16.15398167,119.9771767
7,S,ALA0412,ALA0412,INSTALLED,J5,W,25,G. Montemayor St. Pob. Alaminos,16.15381,119.977065
7,S,ALA0413,ALA0413,INSTALLED,J6,S,25,G. Montemayor St. Pob. Alaminos,16.153335,119.9767117
7,C,ALA0044,ALA0044,INSTALLED,C1-C7-C7,C,35,Quezon Blvd,16.15634909,119.978121
7,C,ALA0044-R1,ALA3089,INSTALLED,C14,c,45,J. Braganza St. Pob. Alaminos,16.156752,119.978344
7,C,ALA0044-R2,ALA3090,INSTALLED,c14,c,45,J. Braganza St. Pob. Alaminos,16.156922,119.978448
7,C,ALA0044-R3,ALA3091,INSTALLED,C14,c,45,J. Braganza St. Pob. Alaminos,16.157272,119.978686
7,C,ALA0044-R4,ALA3092,INSTALLED,C4,c,45,J. Braganza St. Pob. Alaminos,16.157576,119.978883
7,C,ALA0044-R5,ALA3093,INSTALLED,C1-1,c,45,J. Braganza St. Pob. Alaminos,16.157832,119.97859
7,C,ALA0044-R6,ALA3094,INSTALLED,c7/c7,c,45,J. Braganza St. Pob. Alaminos,16.158141,119.978195
7,C,ALA0044-R7,ALA3095,INSTALLED,C7,c,45,J. Braganza St. Pob. Alaminos,16.15800597,119.978115
